original_text,edited_text,count,asp_category_1,asp_category_2,asp_category_3
Still Staying Around Thokoza Not Moving Back At Msinga^,I will still stay around Thokoza and not move back to Msinga.,1,Familiarity or to remain in area,,
That  Is My Own Residence ^,That is my own residence.,1,Familiarity or to remain in area,,
That Is Where I Am Much  Familiar ^,That is where I am very familiar.,1,Familiarity or to remain in area,,
That'S My Place Of Abode ^,That is my place of abode.,1,Familiarity or to remain in area,,
Things Are Better Here Than In Bulayawo.^,Things are better here than in Bulayawo.,1,Familiarity or to remain in area,,
This Place Has Become My Home Its All I Know.^,This place has become my home.,1,Familiarity or to remain in area,,
There Are Many Resources Here Around Johannesburg~So I Want My Kids To Be Where There Are Many Opportunities^,There are many resources here around Johannesburg. I want my kids to be where there are many opportunities.,1,"Freedom, governance, or other political factors",Improved outcomes or education for children,
It'S  Free Area And Awah From  The Kayole Congestion ^,It is a free area. It is away from the Kayole congestion.,1,"Freedom, governance, or other political factors","Peacefulness, safety, or cleanliness",
Since I Would  Be A Kenya Through  Naturalization  And I Will Retire  In Kenya ^,"I would be a Kenyan through naturalization. I will retire in Kenya,",1,"Freedom, governance, or other political factors",To retire or age in an appropriate place,
Because It Is A Town And All The Government Facilities Are Here.^,,1,"Freedom, governance, or other political factors",,
Because There Is Freedom ^,,1,"Freedom, governance, or other political factors",,
Better Government Services And Serene Environment^,,1,"Freedom, governance, or other political factors",,
France Has Depleted~ And Is Still Depleting The Resources Of Ivory Coast So If I Get The Opportunity~ I Will Retire There And Enjoy Some Of Our Resources That France Stole From Ivorians^,,1,"Freedom, governance, or other political factors",,
Have Dual Citizenship^,,1,"Freedom, governance, or other political factors",,
I Am Struggling To Get A House Here Because My Passport Has Expired And It'S Better When I'M Old To Go Back Home And Stay At My Grandparents Home^,,1,"Freedom, governance, or other political factors",,
I Want To Be Free^,,1,"Freedom, governance, or other political factors",,
I Want To Be Involved In Politics In My Community ^,,1,"Freedom, governance, or other political factors",,
Monthy Stipend And Upkeep For Refugees^,They offer monthly stipend and upkeep for refugees.,1,"Freedom, governance, or other political factors",,
They Have Better Social Welfare Systems ^,There is better social welfare systems.,1,"Freedom, governance, or other political factors",,
It'S Where People With Money Stays~I Would Like To Stay There One Day^,It is where people with money stay. I would like to stay there one day.,1,Friendliness or other attributes of population,Personal preference or change,
To Know Their Culture And To Live There.^,I want to know their culture. I want to live there.,1,Friendliness or other attributes of population,Personal preference or change,
The Area Is Full Of Rich People And I Will  Be Rich By The Time I Retire.^,The area is full of rich people. I will be rich by the time I retire.,1,Friendliness or other attributes of population,To retire or age in an appropriate place,
The Country Is Very Wealthy So I Hate Poverty I Rather Retire There^,The country is very wealthy and I hate poverty. I would rather retire there.,1,Friendliness or other attributes of population,To retire or age in an appropriate place,
Because It'S Not A Crowded Place... People Treat Each Other Nicely^,,1,Friendliness or other attributes of population,,
Community Togetherness^,,1,Friendliness or other attributes of population,,
I Feel  Embraced By The Locals And Hence I Can Call It Home^,,1,Friendliness or other attributes of population,,
It Has People Who Are Focused^,It has people who are focused.,1,Friendliness or other attributes of population,,
It'S A White Dominating Area^,It is a white-dominated area.,1,Friendliness or other attributes of population,,
Life Its Easy In Community ^,Life is easy in the community.,1,Friendliness or other attributes of population,,
Meeting New People Of My Age^,To meet new people of my age.,1,Friendliness or other attributes of population,,
More People Speak Hausa There^,There are more people that speak Hausa there.,1,Friendliness or other attributes of population,,
Residents Of Adabraka Are More Respected Than Those Of Us Living Here^,The residents of Adabraka are more respected than those of us living here.,1,Friendliness or other attributes of population,,
To Help The Community ^,I want to help the community.,1,Friendliness or other attributes of population,,
Where I'M Respected ^,It is where I am respected.,1,Friendliness or other attributes of population,,
My Investments Are All The (House And Family)^,My investments are all there. My house is there. My family is there.,1,Improved outcomes or education for children,Available land or improved living conditions,Reunify with family or return to homeland
I Have Built A House For My Kids^,,1,Improved outcomes or education for children,Available land or improved living conditions,
I Hope My Children Will Build A House There And  Take Me To Live With Them. ^,,1,Improved outcomes or education for children,Available land or improved living conditions,
There Are Many Opportunities Here In South Africa So I Don'T Imagine Going Back Home^,There many opportunities here in South Africa. I do not imagine going back home.,1,Improved outcomes or education for children,Familiarity or to remain in area,
Access To Education For Children ^~Access To Democratic Freedom^,,1,Improved outcomes or education for children,"Freedom, governance, or other political factors",
When I'M Retiring M Children Will Air Over My Businesses And I Will. Go Back Home Cause I Also Have A Business There^,,1,Improved outcomes or education for children,Improved work or economic opportunities,
If Has Finished To Make Money She Would To Spend It With Her Children Back Home.^,,1,Improved outcomes or education for children,On behalf of another family member,
My Son Likes It Here And I Want To Live Close To My Grand Children When I Am Old^,My son likes it here. I want to live close to my grandchildren when I am old.,1,Improved outcomes or education for children,On behalf of another family member,
I Will Be Next To My Children^,,1,Improved outcomes or education for children,Reunify with family or return to homeland,
Access To Better Education For Children ^,,1,Improved outcomes or education for children,,
Access To Education In English For My Children^,,1,Improved outcomes or education for children,,
I Believe Is A Place Where I Can Get  Peace With My Children Crime Free.^,,1,Improved outcomes or education for children,,
I Came Here To Make Money For My Kids~And M Aren'T Are Back Home^,,1,Improved outcomes or education for children,,
I Have School Going Children ^,,1,Improved outcomes or education for children,,
I Want To Be Close To My Children^,,1,Improved outcomes or education for children,,
Just To Be At Home With My Grandchildren ^,I can just be at home with my grandchildren.,1,Improved outcomes or education for children,,
So That  I Can Advise The Younger  Generation ^,I can advise the younger generation.,1,Improved outcomes or education for children,,
There Are Many Opportunities Here For My Child And Future Grandchildren ^,There are many opportunities here for my child and future grandchildren.,1,Improved outcomes or education for children,,
To Take Care Of My Grand Children^,I want to take care of my grandchildren.,1,Improved outcomes or education for children,,
Want My Children To Grow Up There~ Daire^,I want my children to grow up there.,1,Improved outcomes or education for children,,
Access To Educational Resources ^~Access To Economic Resources ^,,1,Improved training or education opportunities,Improved work or economic opportunities,
Access To Education ^,,1,Improved training or education opportunities,,
I Wish I Can Be Accepted At Cape Town University And The I Will Move There^,,1,Improved training or education opportunities,,
I'Ts Good For M Business~As I'M Planning To Buy A House And Move With My Family From A Flat^,,1,Improved work or economic opportunities,Available land or improved living conditions,
Then He Would Have Been Saving His Money And He Said He It Is A Hotel Place.^,I would be saving my money. I am in a hotel.,1,Improved work or economic opportunities,Available land or improved living conditions,
Continue Farming^,,1,Improved work or economic opportunities,"Environment, geography, or natural landscape",
For Farming  Business ^,,2,Improved work or economic opportunities,"Environment, geography, or natural landscape",
For Farming ^,,5,Improved work or economic opportunities,"Environment, geography, or natural landscape",
For Farming Business ^,,2,Improved work or economic opportunities,"Environment, geography, or natural landscape",
I Want To Relocate And Work At Durban And Retire Near The Sea^,,1,Improved work or economic opportunities,"Environment, geography, or natural landscape",
I'M Farming In The Village ^,,1,Improved work or economic opportunities,"Environment, geography, or natural landscape",
Isa Nice Placeto Do Farming^,It is a nice place to do farming.,1,Improved work or economic opportunities,"Environment, geography, or natural landscape",
It Has Good Has Prime Plots And Fertile Land^,It has prime plots and fertile land.,1,Improved work or economic opportunities,"Environment, geography, or natural landscape",
Access To Economic Resources ^~Access To City Life^~Access To Family And Friends ^,,1,Improved work or economic opportunities,"Exposure to activity, amenities, and culture",Reunify with family or return to homeland
The Is Good Business Where I M And The Neighborhood Is Key^,There is good business where I am. The neighborhood is key.,1,Improved work or economic opportunities,"Exposure to activity, amenities, and culture",
Life Here Is Much Better Than Where My Parents Come From And I'M Used To The City Life^,Life here is much better than where my parents come from. I'm used to the city life.,1,Improved work or economic opportunities,Familiarity or to remain in area,
My Business Is Picking Up In This Community And I Don'T Want To Change Environment Again.^,My business is picking up in this community. I do not want to change my environment again.,1,Improved work or economic opportunities,Familiarity or to remain in area,
This Town Is A Business Centre So I Would Like To Stay ^,This town is a business center. I would like to stay.,1,Improved work or economic opportunities,Familiarity or to remain in area,
This Where I Have My Investments And That'S My Life.^,This is where I have my investments. That is my life.,1,Improved work or economic opportunities,Familiarity or to remain in area,
When You Try To Sell Something Or Start A Business~ People Support You^,"When I try to sell something or start a business, people will support me.",1,Improved work or economic opportunities,Friendliness or other attributes of population,
It'S Where I Get My Daily Bread~Rent And School Fee For My Children^,It is where I get my daily bread. It is where I pay the rent and school fee for my children.,1,Improved work or economic opportunities,Improved outcomes or education for children,
It Will Depend On How My Future Holds~Cause Now My Goal Is To Move To Canada And Perdue My Work There As A Graphic Design~And Also Study Further In Canada^,It will depend on how my future holds. Now my goal is to move to Canada and pursue my work there as a graphic designer. It is my goal to study further in Canada.,1,Improved work or economic opportunities,Improved work or economic opportunities,Improved training or education opportunities
South Africa Has Better Work Opportunities And He Would Like Her Sister To Move This Side As Well.^,South Africa has better work opportunities. I would like my sister to move here as well.,1,Improved work or economic opportunities,On behalf of another family member,
The Are Better Opportunities Here In South Africa Than Mozambique So He Will Means To Move His Family This Side.^,There are better opportunities here in South Africa than Mozambique. I mean to move my family to this side.,1,Improved work or economic opportunities,On behalf of another family member,
He Said His Businesses Are Doing Well Right Now.Sandton Is A Quiet Place To Have A Piece Of Mind^,,1,Improved work or economic opportunities,"Peacefulness, safety, or cleanliness",
Life Here In Diepsloot Is Becoming More Difficult Cause I Am Not Working And There Is Too Much Crime~And I Have A Family Home That I Will Retire To Back At Home^,Life here in Diepsloot is becoming more difficult because I am not working. There is too much crime. I have a family home I will retire to.,1,Improved work or economic opportunities,"Peacefulness, safety, or cleanliness",
In My Hometown There Is Too Much Poverty But Here There Is Lot Of Job Opportunities^,"In my hometown, there is too much poverty. Here, there is a lot of job opportunities.",1,Improved work or economic opportunities,Reduced expenses or hardship,
In Our Country The Economy Is Very Poor~Here Even If You Have R10 You Have Something To Eat At Night^,"In our country, the economy is very poor. Here, even if you have ten rand you have something to eat at night.",1,Improved work or economic opportunities,Reduced expenses or hardship,
A Fast Developing Area^,,1,Improved work or economic opportunities,,
Access To Economic Resources ^,,1,Improved work or economic opportunities,,
Access To Higher Wage^,,1,Improved work or economic opportunities,,
Because Of Work Opportunities Here^,,1,Improved work or economic opportunities,,
Because There Are Better Opportunities Here In South Africa Than Back Home Where I Come From^,,1,Improved work or economic opportunities,,
Because There Are More Opportunities^,,1,Improved work or economic opportunities,,
Business Is Booming  In This Area And I Will  Make Lots Of Money When  I Settle  There With My Business ^,,1,Improved work or economic opportunities,,
Business Is Good In This Country^,,1,Improved work or economic opportunities,,
Business Opportunities Are Very Good Here Than Back At Home^,,1,Improved work or economic opportunities,,
Businesses Are Well Doing^,,1,Improved work or economic opportunities,,
Continue With Business^,,1,Improved work or economic opportunities,,
Don'T Know Where Would Retire To But Would Move Anywhere Where There Are Opportunities^,,1,Improved work or economic opportunities,,
Due To The Economic Activities That Goes On There^,,1,Improved work or economic opportunities,,
Economic Growth ^,,1,Improved work or economic opportunities,,
Economy Is Booming And Thats My Home Country^,,1,Improved work or economic opportunities,,
For Economic Gain^,,1,Improved work or economic opportunities,,
Getting Employment^,,1,Improved work or economic opportunities,,
Going Back Home Is Not An Option Economy Wise^,,1,Improved work or economic opportunities,,
Good Place To Do Farming^,,1,Improved work or economic opportunities,,
Has A Fertile Land That Supports  Agriculture~ More So Maize  Farming ^,,1,Improved work or economic opportunities,,
Here I Can Get Work Opportunities^,,1,Improved work or economic opportunities,,
I Am Able To Do So Many Businesses In This Area^,,1,Improved work or economic opportunities,,
I Came To Johannesburg To Improve My Life Or Should I Say Uplifting Then Once I'M Done I'M Heading Back To Shokwe To Start My Own Business^,,1,Improved work or economic opportunities,,
I Came To Johannesburg To Work^,,1,Improved work or economic opportunities,,
I Can Move Just For Beltter Employment Opportunities^,,1,Improved work or economic opportunities,,
I Have My Own Business That I'M Running^,,1,Improved work or economic opportunities,,
I Want To Open A Business And Make More Money Here In South Africa^,,1,Improved work or economic opportunities,,
I'M Doing Business And Getting Money Her^,,1,Improved work or economic opportunities,,
I'M Not Where I'Ll Be Cause Now Am Unemployed And If It Comes To A Push I'Ll Be Forced To Go Back Home^,,1,Improved work or economic opportunities,,
It Has More Opportunities  For Business^,,1,Improved work or economic opportunities,,
It Is Easier To Progress Over There^,It is easier to progress over there.,1,Improved work or economic opportunities,,
It'S A Nice Place With Lots Of Opportunities And Resources^,It is a nice place with lots of opportunities and resources.,1,Improved work or economic opportunities,,
It'S Surrounded With Lots Of Business And Job Opportunities^,It is surrounded by lots of businesses and job opportunities.,1,Improved work or economic opportunities,,
It'S Where I Want To Stay When I Have Money^,It is where I want to stay when I have money.,1,Improved work or economic opportunities,,
Its A Good Place  For Business ^,It is a good place for business.,1,Improved work or economic opportunities,,
Just For Business ^,I am just here for business.,1,Improved work or economic opportunities,,
Kenya Is A Good Country With Many Opportunities ^,Kenya is a good country with many opportunities.,1,Improved work or economic opportunities,,
Lack Of Opportunity To Go Somewhere Else ^,I will go somewhere else because of lack of opportunity.,1,Improved work or economic opportunities,,
Lots Of Job Opportunities^,It has lots of job opportunities.,2,Improved work or economic opportunities,,
Lots Of Opportunities Here^,There are lots of opportunities here.,1,Improved work or economic opportunities,,
Lots Of Opportunities^,There are lots of opportunities.,1,Improved work or economic opportunities,,
Mane Benefits Including Working Opportunity And Goodlife^,"It offers many benefits, including working opportunities and a good life.",1,Improved work or economic opportunities,,
More Opportunities For Work And Life Is Cheaper^,There are more opportunities for work. Life is cheaper.,1,Improved work or economic opportunities,,
Most Opportunities Are Here^,Most opportunities are here.,1,Improved work or economic opportunities,,
Run Her Own Business In Texas^,I will run my own business in Texas.,1,Improved work or economic opportunities,,
South Africa Has A Good Economy Compared To My Country^,South Africa has a good economy compared to my country.,1,Improved work or economic opportunities,,
South Africa Has The Best Opportunity Than Dedza Or Blantyre.^,South Africa has better opportunities than Dedza or Blantyre.,1,Improved work or economic opportunities,,
The Are Better Opportunities Here We'Re I Stay^,There are better opportunities here where I stay.,1,Improved work or economic opportunities,,
The Are Business Opportunities There^,There are business opportunities there.,1,Improved work or economic opportunities,,
The County Is Growing Fast Hence More Opportunities To Invest^,The country is growing fast and has more opportunities to invest.,1,Improved work or economic opportunities,,
The Town Is Good For Business ^,The town is good for business.,1,Improved work or economic opportunities,,
There Are Lot Of Opportunities Here^,There are a lot of opportunities here.,1,Improved work or economic opportunities,,
There Are Lots Of Business Opportunities Here^,There are a lot of business opportunities here.,1,Improved work or economic opportunities,,
There Are Lots Of Opportunities Here^,There are lots of opportunities here.,1,Improved work or economic opportunities,,
There Are Many Business Opportunities  Here^,There are many business opportunities here.,1,Improved work or economic opportunities,,
To Develop The Area^,I want to develop the area.,1,Improved work or economic opportunities,,
To Supervise My Businesses ^,I want to supervise my businesses.,1,Improved work or economic opportunities,,
Uk Is More Developed And Richer Than Ghana^,The United Kingdom is more developed and richer than Ghana.,1,Improved work or economic opportunities,,
Work And Business Opportunities Are Available In The City Of Johannesburg^,Work and business opportunities are available in the city of Johannesburg.,1,Improved work or economic opportunities,,
Since Her Husband Is The One Making Money This Side They Both Planning To Buy A House And Retired In Port-Shepstone And Rent Their House In Berea.^,My husband is the one making money here. My husband and I plan to buy a house in Port Shepstone. My husband and I plan to retire in Port Shepstone and rent our house in Berea.,1,On behalf of another family member,Available land or improved living conditions,To retire or age in an appropriate place
This Is My Hometown And This Where I Have Built.^,It is my hometown. It is where I have built.,1,On behalf of another family member,Available land or improved living conditions,
Because My Child Is Here^,,1,On behalf of another family member,Familiarity or to remain in area,
I Would Like To Live Wherever My  Children Will Build Their Houses ^,,1,On behalf of another family member,Improved outcomes or education for children,
My Children Are There And I Am Not Ready To Bring Them Here^,My children are there. I am not ready to bring my children here.,1,On behalf of another family member,Improved outcomes or education for children,
My Children And Mother Are There^~It Is My Home Town And I Would Be Among My Family ^,My children and mother are there. It is my hometown. I would be among my family.,1,On behalf of another family member,Reunify with family or return to homeland,Reunify with family or return to homeland
My Sons Are Building A House There And I Hope To Stay There When It'S Completed. I Will Spend My Old Age There.^,My sons are building a house there. I hope to stay at my sons' house when it is completed.,1,On behalf of another family member,Reunify with family or return to homeland,
She Said She Came Here To Stay With Her Husband But Theyoth Planning To Move Backed To Barbarton Together.^,I came to stay with my husband. My husband and I are planning to move back to Barbarton together.,1,On behalf of another family member,Reunify with family or return to homeland,
Because Of His Age.He'Ll Be Older By Then. ^,,1,On behalf of another family member,,
Because When M Kids Are Grown They Wl Wan To Come To South Africa And Work So There Will Be No One Left And Home~So. Must Move Back^,,1,On behalf of another family member,,
Dg She Enjoys Been Around Her Boyfriend.^,,1,On behalf of another family member,,
Going Back Home To Spend Her Money With Her Children.^,,1,On behalf of another family member,,
Have Childre All My Children May Grow Up Here^,,1,On behalf of another family member,,
Husband'S Wish^,,1,On behalf of another family member,,
Its Where Am Married ^,It is where I am married.,1,On behalf of another family member,,
Join The Son In Australia^,I will join my son in Australia.,1,On behalf of another family member,,
Marital Home ^,It my marital home.,5,On behalf of another family member,,
Marital Home^,It my marital home.,1,On behalf of another family member,,
Marriage ^,Because of my marriage.,1,On behalf of another family member,,
Married Here^,Because I was married here.,2,On behalf of another family member,,
My Children Are Here. ^,My children are here.,1,On behalf of another family member,,
My Children Are Here^,My children are here.,1,On behalf of another family member,,
My Children Are Still Here^,My children are still here.,1,On behalf of another family member,,
My Husband'S Home Town ^,It is my husband's home town.,1,On behalf of another family member,,
My Husbands Ancestral Home ^,It is my husband's ancestral home.,1,On behalf of another family member,,
My Husbands House^,My husband's house is there.,1,On behalf of another family member,,
My Marital Home To Take Care Of Mh Farm And Home ^,It is my marital home. I would go to take care of my farm and home.,1,On behalf of another family member,,
My Matrimonial Home ^,It is my matrimonial home.,1,On behalf of another family member,,
My Matrimonial Land ^,It is my matrimonial land.,1,On behalf of another family member,,
My Partner And Children All Live Hereenglish^,My partner and children all live here.,1,On behalf of another family member,,
My Whole Family Is In This Neighbourhood ^,My whole family is in this neighborhood.,1,On behalf of another family member,,
My Wife Likes It Here^,My wife likes it here.,1,On behalf of another family member,,
Settling Down To Raise Grandchildren^,I want to settle down to raise my grandchildren.,1,On behalf of another family member,,
She Is Married In That Place ^,I was married in that place.,1,On behalf of another family member,,
Spend Time With My Parents^,I will spend time with my parents.,1,On behalf of another family member,,
Stay With My Husband ^,I will stay with my husband.,1,On behalf of another family member,,
Stay With My Mother ^,I will stay with my mother.,1,On behalf of another family member,,
Take  Care Of My Aged Mother If She Is Alive^,I will take care of my aged mother if she is alive.,1,On behalf of another family member,,
That'S  Where Am Married^,That is where I was married.,1,On behalf of another family member,,
This My Husband Family House ^,It is my husband's family house.,1,On behalf of another family member,,
To Join The Husband^,I want to join my husband.,1,On behalf of another family member,,
To Spend Time With Husband ^,I want to spend time with my husband.,1,On behalf of another family member,,
We'Re The Whole Family Are Staying.^,"We, the whole family, are staying.",1,On behalf of another family member,,
Where Am Married ^,It is where I was married.,1,On behalf of another family member,,
It Is Peaceful And There Is No Violence ^,,1,"Peacefulness, safety, or cleanliness","Peacefulness, safety, or cleanliness",
It Is Peaceful^~No Crime Compared To Diepsloot^,,1,"Peacefulness, safety, or cleanliness","Peacefulness, safety, or cleanliness",
Johannesburg The Lifevherecisbtoo Fast And Dangerous~So T Home I Have A House And It'S Safe And The Life Is Not That Expensive^,"It is safe, life here is too fast and dangerous. I have a house at home. The life is not expensive.",1,"Peacefulness, safety, or cleanliness",Available land or improved living conditions,Reduced expenses or hardship
Its Peaceful And I Have My House There^~Unite With My Family^,It is peaceful. I have my house there. I can unite with my family.,1,"Peacefulness, safety, or cleanliness",Available land or improved living conditions,Reunify with family or return to homeland
It Is Ga Village And I Hope To Build My House There Where I'Ll Live When I Retire ^,It is a village. I hope to build my house there. It is where I'll live when I retire.,1,"Peacefulness, safety, or cleanliness",Available land or improved living conditions,To retire or age in an appropriate place
I Will Be Staying Comfortably In My Yard^,,1,"Peacefulness, safety, or cleanliness",Available land or improved living conditions,
It'S Much Safer And Will Be Getting My Rep House There^,It is much safer. I will be getting my house there. ,1,"Peacefulness, safety, or cleanliness",Available land or improved living conditions,
Serene And More Space.^,It is serene. There is more space.,1,"Peacefulness, safety, or cleanliness",Available land or improved living conditions,
To Relax At Home ^,I want to relax at home.,1,"Peacefulness, safety, or cleanliness",Available land or improved living conditions,
Fresh Air~ And The Scenery Is Beautiful^,,1,"Peacefulness, safety, or cleanliness","Environment, geography, or natural landscape",
To Rest  For Farming ^,I want to rest for farming.,1,"Peacefulness, safety, or cleanliness","Environment, geography, or natural landscape",
I Love The Place And The Sorounding Areas~It'S An Upmarket Place An It'S Quiet~It'S A Suburb^,,1,"Peacefulness, safety, or cleanliness","Exposure to activity, amenities, and culture",
It'S  A Serene Place~ And Have Always Love How Fast It Develops.^,It is a serene place. I have always loved how fast it develops.,1,"Peacefulness, safety, or cleanliness","Exposure to activity, amenities, and culture",
Kenya Is Safe And I Have Had A Great Time ^,Kenya is safe. I have a had a great time in Kenya.,1,"Peacefulness, safety, or cleanliness","Exposure to activity, amenities, and culture",
No Stress~ We Watch Movies The Whole Day^,There is no stress. We will watch movies the whole day.,1,"Peacefulness, safety, or cleanliness","Exposure to activity, amenities, and culture",
It'S A Quite And Friendly Place To Live And Make Money ^,It is a quiet place. It is a friendly place to live. It is a place to make money.,1,"Peacefulness, safety, or cleanliness",Friendliness or other attributes of population,Improved work or economic opportunities
People Here Aren'T Respectful So I Would Like To Live In East Legon Where People Are Enlightened And Courteous. ^,People here are not respectful. I would like to live in East Legon where people are enlightened and courteous.,1,"Peacefulness, safety, or cleanliness",Friendliness or other attributes of population,
It Is A Very Quite And Nice Place~If My Business Picked Up Early In Life I Would Have Saved And Moved With My Family~Nice Place For Children To See Another World And I Love Portuguese^,"It is a very quiet and nice place. If my business picked up early in life, I would have saved up and moved with my family since it is nice for children to see another world. I love Portuguese.",1,"Peacefulness, safety, or cleanliness",Improved outcomes or education for children,Friendliness or other attributes of population
Access To Serene Environment ^~Accessto Education For Children ^~Access To Economic Resources ^,,1,"Peacefulness, safety, or cleanliness",Improved outcomes or education for children,Improved work or economic opportunities
I Hear It Is A Peaceful Place ^~The Crime Rate Is Low ^~It Is Developed ^~And I Hope My Children Will Be Living There By The Time I'M Old So I Will Stay With Them. ^,,1,"Peacefulness, safety, or cleanliness",Improved outcomes or education for children,
The Neighbourhood Is Peaceful And I Want To Oversee My Son Taking Over My Business^,The neighborhood is peaceful. I want to oversee my son taking over my business.,1,"Peacefulness, safety, or cleanliness",Improved outcomes or education for children,
Adenta Is Peaceful~ I Don'T Have Problem With Any Body So When I Gather Money I Will Bring My Wife And Children Here^,,1,"Peacefulness, safety, or cleanliness",Improved work or economic opportunities,Reunify with family or return to homeland
There Is Too Much Crime Here But Job Opportunities Are Too Much~But Need To G Back Home When I'M Old^,There is too much crime here. There are job opportunities here. I need to go back home when I am old.,1,"Peacefulness, safety, or cleanliness",Improved work or economic opportunities,Reunify with family or return to homeland
Access To Serene Environment ^~Access To Rich People^,,1,"Peacefulness, safety, or cleanliness",Improved work or economic opportunities,
It'S  A Quite Place  You  Can Live And  Do Business ^,It is a quiet place. I can live and do business.,1,"Peacefulness, safety, or cleanliness",Improved work or economic opportunities,
More Respect And Peace Here Plus More Business Opportunities ^,There is more respect and peace here. There are more business opportunities.,1,"Peacefulness, safety, or cleanliness",Improved work or economic opportunities,
It Is Quiet And Peaceful.It Is A Nice Place To Relax In^,It is quiet and peaceful. It is a nice place to relax in.,1,"Peacefulness, safety, or cleanliness","Peacefulness, safety, or cleanliness",
It'S  More Peaceful Than My Country Of Origin. Tranquillity  Is Everything For Us^,It is more peaceful than my country of origin. Tranquility is everything for us.,1,"Peacefulness, safety, or cleanliness","Peacefulness, safety, or cleanliness",
Life It'S Very Difficult At Home~Am Not Planning To Go Back^,Life is very difficult at home. I am not planning to go back.,1,"Peacefulness, safety, or cleanliness","Peacefulness, safety, or cleanliness",
No Noise^~No Crime^,There is no noise. There is no crime.,1,"Peacefulness, safety, or cleanliness","Peacefulness, safety, or cleanliness",
There'S No Rush Rush~ It'S A Cool Place^,There is no rush-rush. It is a cool place.,1,"Peacefulness, safety, or cleanliness",Personal preference or change,
East Legon Is More Formal~ Respected And Rich Neighbourhood^,,1,"Peacefulness, safety, or cleanliness",Personal preference or change,Improved work or economic opportunities
East Legon And Famous And More Formal Neighbourhood. Security And Sanitation Are Better There^,,1,"Peacefulness, safety, or cleanliness",Personal preference or change,
It Is More Peaceful Here And Life Is A Little Bit Cheaper ^,,1,"Peacefulness, safety, or cleanliness",Reduced expenses or hardship,
It Is Peaceful And There Are No Expenses ^,,1,"Peacefulness, safety, or cleanliness",Reduced expenses or hardship,
It Is Peaceful And There Are No Expenses Since It Is Home.^,,1,"Peacefulness, safety, or cleanliness",Reduced expenses or hardship,
Peaceful And Less Expenses ^,It is peaceful. There are less expenses.,1,"Peacefulness, safety, or cleanliness",Reduced expenses or hardship,
Peaceful And No Expenses ^,It is peaceful. There are no expenses.,1,"Peacefulness, safety, or cleanliness",Reduced expenses or hardship,
Where I Can Get Piece Of Mind And Where My Family Is~ Johannesburg Is Too Loud And Noisy^,It is where I can get peace of mind. It is where my family is. Johannesburg is too loud.,1,"Peacefulness, safety, or cleanliness",Reunify with family or return to homeland,"Peacefulness, safety, or cleanliness"
I Want To Relax At Home^,,1,"Peacefulness, safety, or cleanliness",Reunify with family or return to homeland,
I Want To Relax At The Place Of My Origin^,,1,"Peacefulness, safety, or cleanliness",Reunify with family or return to homeland,
I Want To Relax In A Place Where I Grew Up^,,1,"Peacefulness, safety, or cleanliness",Reunify with family or return to homeland,
It Is A Peaceful  Place^,,1,"Peacefulness, safety, or cleanliness",Reunify with family or return to homeland,
It Is A Very Nice And Quiet Place ^~My Family Is There ^,It is a nice and quiet place. My family is there.,1,"Peacefulness, safety, or cleanliness",Reunify with family or return to homeland,
It Is Calm And That Is My Home Country ^,It is calm. It is my home country.,1,"Peacefulness, safety, or cleanliness",Reunify with family or return to homeland,
It Is Peaceful And To Be With My Family. ^,,1,"Peacefulness, safety, or cleanliness",Reunify with family or return to homeland,
It'S A Quite Place To Live And I Am Closer To Family Over There^,It is a quite place to live. I am closer to family over there.,1,"Peacefulness, safety, or cleanliness",Reunify with family or return to homeland,
Place Of A Retiment As For Me Should Be A Peaceful Place Like Home^,My place of retirement should be a peaceful place. My home is a peaceful place.,1,"Peacefulness, safety, or cleanliness",Reunify with family or return to homeland,
To Relax  With Family ^,I want to relax with family.,1,"Peacefulness, safety, or cleanliness",Reunify with family or return to homeland,
Get Married To A Kenyan Because Kenya Is Peaceful ^,,1,"Peacefulness, safety, or cleanliness",Romantic prospects or to start a family,
Ghana Is Peaceful And I Have My Business Here. I Want To Make Family Here.^,,1,"Peacefulness, safety, or cleanliness",Romantic prospects or to start a family,
The Place Is Very Peaceful And Safe~ I Think Is A Good Place For Ageing.^,The place is very peaceful and safe. I think it is a good place for aging.,1,"Peacefulness, safety, or cleanliness",To retire or age in an appropriate place,
A Quiet  Type Of Environment^,,1,"Peacefulness, safety, or cleanliness",,
A Very Cool And Calm Environment^,,1,"Peacefulness, safety, or cleanliness",,
Adabraka Is A Decent Neighbourhood And Ghana Is More Peaceful Than Nigeria^,,1,"Peacefulness, safety, or cleanliness",,
Away From The City  And Calm^,,1,"Peacefulness, safety, or cleanliness",,
Because  It Is A Peaceful  Area^,,1,"Peacefulness, safety, or cleanliness",,
Because  The Place  Is Peaceful ^,,1,"Peacefulness, safety, or cleanliness",,
Because It Is A Quiet Place^,,1,"Peacefulness, safety, or cleanliness",,
Because It Is Peaceful ^,,1,"Peacefulness, safety, or cleanliness",,
Calm Environment^,,1,"Peacefulness, safety, or cleanliness",,
Calming Place To Be^,,1,"Peacefulness, safety, or cleanliness",,
Cantonments Is A Quiet And More Decent Neighbourhood^,,1,"Peacefulness, safety, or cleanliness",,
Comfortable  Environment ^,,1,"Peacefulness, safety, or cleanliness",,
Cool And Serene^,,1,"Peacefulness, safety, or cleanliness",,
