index,SITE_CODE,8 Identify City ,203b,203b_theme,205c,205c_theme,207b,207b_theme,210b,210b_theme,215,215_theme,217,217_theme
283243,283243,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283247,283247,Nairobi ,Marriage or moving in with partner,Kin,Cost of rent (too high& somewhere else much cheaper),Housing,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283248,283248,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283249,283249,Nairobi ,Marriage or moving in with partner,Kin,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283257,283257,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283259,283259,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283264,283264,Nairobi ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283266,283266,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283269,283269,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283270,283270,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283273,283273,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283276,283276,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283277,283277,Nairobi ,Access to work or economic opportunities,Work,Access to work,Work,Access to work,Work,Needed more space,Housing,-1,(No Answer),-1,(No Answer)
283283,283283,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283290,283290,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283291,283291,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283302,283302,Nairobi ,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283304,283304,Nairobi ,Access to work,Work,Job change or loss,Work,Friends in the area,Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283305,283305,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283309,283309,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283312,283312,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283320,283320,Johannesburg,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283323,283323,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283327,283327,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283330,283330,Nairobi ,Access to work,Work,Access to work,Work,Access to work,Work,New business or expansion,Work,-1,(No Answer),-1,(No Answer)
283336,283336,Johannesburg,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283337,283337,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283339,283339,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283341,283341,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283343,283343,Accra ,Access to work,Work,Access to work,Work,Access to work,Work,Needed more space,Housing,-1,(No Answer),-1,(No Answer)
283344,283344,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283347,283347,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283348,283348,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283350,283350,Johannesburg,Access to work,Work,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283354,283354,Accra ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283358,283358,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283359,283359,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283364,283364,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283365,283365,Nairobi ,Education (for self or others),Education,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283366,283366,Nairobi ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283367,283367,Johannesburg,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283368,283368,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283369,283369,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283370,283370,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283371,283371,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283372,283372,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283373,283373,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283374,283374,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283375,283375,Nairobi ,Education (for self or others),Education,Education (for self or others),Education,"Exploration, restart, or independence",Restart,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283377,283377,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283380,283380,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283381,283381,Johannesburg,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283382,283382,Johannesburg,"Familial ties, reunification, or inheritance",Kin,Access to work or economic opportunities,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283391,283391,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283394,283394,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283396,283396,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283398,283398,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283410,283410,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283412,283412,Accra ,Education (for self or others),Education,Family reasons (unification / escape),Kin,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283422,283422,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283430,283430,Nairobi ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283432,283432,Nairobi ,Access to work,Work,Marriage or moving in with partner,Kin,Marriage or moving in with partner,Kin,Access to work,Work,-1,(No Answer),-1,(No Answer)
283433,283433,Nairobi ,Access to work,Work,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283442,283442,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283444,283444,Accra ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283450,283450,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283460,283460,Accra ,Education (for self or others),Education,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283461,283461,Accra ,Education (for self or others),Education,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283465,283465,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283470,283470,Accra ,Access to work,Work,Access to work,Work,Access to work,Work,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer)
283476,283476,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283498,283498,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283514,283514,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283515,283515,Accra ,Cost of rent (too high& somewhere else much cheaper),Housing,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283516,283516,Accra ,Family reasons (unification / escape),Kin,Family reasons (unification / escape),Kin,Family reasons (unification / escape),Kin,Family reasons (unification / escape),Kin,Education (for self or others),Education,"Eviction, rehabilitation, or inadequate housing",Housing
283533,283533,Accra ,Access to work,Work,Access to work,Work,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer)
283571,283571,Accra ,Family reasons (unification / escape),Kin,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283577,283577,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283578,283578,Accra ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283579,283579,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283583,283583,Accra ,Education (for self or others),Education,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283589,283589,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283592,283592,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283606,283606,Accra ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283607,283607,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283608,283608,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283609,283609,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283610,283610,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283688,283688,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283689,283689,Nairobi ,Cost of rent (too high& somewhere else much cheaper),Housing,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283690,283690,Nairobi ,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283691,283691,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283849,283849,Nairobi ,New business or expansion,Work,New business or expansion,Work,New business or expansion,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283853,283853,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283864,283864,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283865,283865,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283866,283866,Accra ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283868,283868,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283869,283869,Nairobi ,Access to work or economic opportunities,Work,"Exploration, restart, or independence",Restart,Access to work,Work,Job change or loss,Work,Cost of rent (too high& somewhere else much cheaper),Housing,Job change or loss,Work
283870,283870,Nairobi ,Access to work,Work,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283871,283871,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283875,283875,Accra ,Access to work,Work,Cost of rent (too high& somewhere else much cheaper),Housing,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283878,283878,Nairobi ,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283888,283888,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283890,283890,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283891,283891,Nairobi ,New business or expansion,Work,New or improved home or property,Housing,New or improved home or property,Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283895,283895,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283896,283896,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283900,283900,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283903,283903,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283909,283909,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283917,283917,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283920,283920,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283922,283922,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283926,283926,Nairobi ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283933,283933,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283943,283943,Nairobi ,Education (for self or others),Education,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283944,283944,Johannesburg,Access to work,Work,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
283945,283945,Johannesburg,"Familial ties, reunification, or inheritance",Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283946,283946,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283947,283947,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283948,283948,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283949,283949,Johannesburg,Needed more space,Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283952,283952,Johannesburg,Political reason,Safety,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283956,283956,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283959,283959,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283962,283962,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283964,283964,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283967,283967,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283970,283970,Accra ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283974,283974,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283975,283975,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283976,283976,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283981,283981,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283987,283987,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283990,283990,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283991,283991,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283992,283992,Johannesburg,Access to work,Work,Needed more space,Housing,Needed more space,Housing,Access to work,Work,-1,(No Answer),-1,(No Answer)
283994,283994,Johannesburg,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
283998,283998,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284000,284000,Accra ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284003,284003,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284004,284004,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284007,284007,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284008,284008,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284009,284009,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284011,284011,Accra ,Family reasons (unification / escape),Kin,Needed more space,Housing,Access to work,Work,Access to work,Work,Access to work,Work,New business or expansion,Work
284020,284020,Accra ,Education (for self or others),Education,Family reasons (unification / escape),Kin,Family reasons (unification / escape),Kin,Education (for self or others) ,Education, Family reasons (unification / escape),Kin,Access to education or training,Education
284021,284021,Accra ,Education (for self or others),Education,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284023,284023,Accra ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284028,284028,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284030,284030,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284037,284037,Accra ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284044,284044,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284047,284047,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284048,284048,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284049,284049,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284050,284050,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284051,284051,Johannesburg,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284052,284052,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284053,284053,Johannesburg,Family reasons (unification / escape),Kin,Family reasons (unification / escape),Kin,Evicted,Housing,Evicted,Housing,New or improved home or property,Housing,Remain in area,Remain
284054,284054,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284055,284055,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284056,284056,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284057,284057,Accra ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284060,284060,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284068,284068,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284075,284075,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284084,284084,Accra ,Access to work,Work,Cost of rent (too high& somewhere else much cheaper),Housing,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
284085,284085,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284088,284088,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284089,284089,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284124,284124,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284135,284135,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284137,284137,Accra ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284147,284147,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284149,284149,Accra ,Education (for self or others),Education,Access to work,Work,Access to work,Work,Access to work,Work,Access to work,Work,Access to work or economic opportunities,Work
284151,284151,Accra ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284155,284155,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284156,284156,Accra ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284157,284157,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284158,284158,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284343,284343,Accra ,Education (for self or others),Education,Family reasons (unification / escape),Kin,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
284351,284351,Nairobi ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284353,284353,Johannesburg,Needed more space,Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284360,284360,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284364,284364,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284365,284365,Nairobi ,Education (for self or others),Education,"Eviction, rehabilitation, or inadequate housing",Housing,"Eviction, rehabilitation, or inadequate housing",Housing,Education (for self or others) ,Education,-1,(No Answer),-1,(No Answer)
284366,284366,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284367,284367,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284368,284368,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284371,284371,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284375,284375,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284378,284378,Accra ,Access to work,Work,Access to work or economic opportunities,Work,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer)
284379,284379,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284382,284382,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284383,284383,Johannesburg,Access to work or economic opportunities,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284384,284384,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
284388,284388,Nairobi ,Access to work,Work,Crime or insecurity,Safety,Access to work,Work,Access to work,Work,Access to work,Work,Remain in area,Remain
