,ID,ID_ordered,location,dist,azimuth,lat_x,lon_x,location_type,max_dist_moves,grouping,location_l,location_near,location_country,city_8,neighborhood_9,orig_country_103,gender_4,employment_status_303,number_moves_200,work_kind_307,migrant_status_3,ethnic_group_106,mother_tongue_115,refugee_214,send_money_310,financial_support_320,retireOrigindist,retireOriginaz,geometry,lat_y,lon_y,in_thm,move_count_in,In_No_Answer,In_Education,In_Housing,In_Kin,In_Restart,In_Safety,In_Work,out_thm,move_count_out,Out_No_Answer,Out_Education,Out_Housing,Out_Kin,Out_Remain,Out_Restart,Out_Safety,Out_Work
236,282093,282093.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,3362.235504290112,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Nigeria,Male,Self-employed (run small business/income generation project),3,Self-employed (run small business/income generation project),No,Umuneka,Igbo,No,Yes,Yes,1.403679543132057,0.008925657823418,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
237,282095,282095.01,"('Madina', 'Accra', 'Ghana')",0.01,0.0,-0.1677052,5.6864962,202,160.7659622863131,moves200,Madina,Accra,Ghana,Accra,Madina,Togo,Female,Casual employment/temporary worker,1,Casual employment/temporary worker,No,Ewe,Ewe,No,No,No,157.36510283687605,0.3138607074056659,POINT (-0.1677052000349022 5.686496199640033),5.6864962,-0.1677052,Work,66.0,0.0,5.0,0.0,21.0,2.0,1.0,66.0,(No Answer),88.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
238,282096,282096.01,"('Adenta', 'Accra', 'Ghana')",1.967693780863146,1.6321607381661996,-0.1687965,5.7041391,202,196.1769164598989,moves200,Adenta,Accra,Ghana,Accra,Madina,Ghana,Female,Unemployed ,0,Unemployed,Yes,Fanti,Fanti,No,No,Yes,,,POINT (-0.1687964994587219 5.704139100439193),5.7041391,-0.1687965,Work,8.0,0.0,1.0,2.0,4.0,0.0,0.0,8.0,(No Answer),13.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
239,282397,282397.05,"('Shauri Moyo', 'Nairobi', 'Kenya')",388.1957685410513,-0.5800315757747557,39.8166,-3.75,215,2412.750562183796,moves200,Shauri Moyo,Nairobi,Kenya,Nairobi,Kayole,Democratic Republic Of The Congo,Female,Casual employment/temporary worker,2,Casual employment/temporary worker,No,Kinyamlenge,French,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
241,282491,282491.02,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,206,903.9670414077232,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Democratic Republic Of The Congo,Male,Working full-time (formal/informal sector),2,Working full-time (formal/informal sector),No,Banyamulenge,Kinyamlenge,No,Yes,No,0.0,0.0,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
242,282500,282500.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,261.96541434424176,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya,Male,Other,0,Unemployed,Yes,Luo,Dholuo,No,No,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
243,282502,282502.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,903.9670414077232,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Democratic Republic Of The Congo,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Nyamulenge,French,No,Yes,Yes,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
245,282503,282503.02,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,206,134.5824613201988,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya,Female,Casual employment/temporary worker,3,Casual employment/temporary worker,Yes,Kamba,Kikamba,No,Yes,No,81.48516262374564,0.7042064919309672,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
248,282515,282515.04,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,214,75.52818053056549,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya,Male,Self-employed (run small business/income generation project),5,Self-employed (run small business/income generation project),Yes,Kamba,Akamba,No,Yes,No,29.001572418499386,1.0091782017290496,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
249,282540,282540.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,1082.4146819067175,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Democratic Republic Of The Congo,Female,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Lingala,Lingala,No,Yes,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
250,282543,282543.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,903.9670414077232,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Democratic Republic Of The Congo,Female,Working part-time (formal/informal sector),2,Working part-time (formal/informal sector),No,Mnyamrenge,Kinyamrenge,No,No,No,16.468841395868367,0.0935356247792991,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
251,282549,282549.01,"('Patanisho', 'Nairobi', 'Kenya')",11.170924368301131,-3.003219925008214,36.8172449,-1.2832533000000002,202,895.5754022189934,moves200,Patanisho,Nairobi,Kenya,Nairobi,Kayole,Democratic Republic Of The Congo,Female,Self-employed (run small business/income generation project),0,Self-employed (run small business/income generation project),No,Mnyarenge,Kinyamrenge,No,No,No,,,POINT (36.8172448998323 -1.283253299699993),-1.2832533000000002,36.8172449,Work,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,(No Answer),2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,282551,282551.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,0.0,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya ,Male,Self-employed (run small business/income generation project),0,Self-employed (run small business/income generation project),Yes,Kamba,Kikamba,No,Yes,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
253,282552,282552.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,903.9670414077232,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Democratic Republic Of The Congo,Female,Working part-time (formal/informal sector),0,Working part-time (formal/informal sector),No,Munyamulenge,Kinyamulenge,No,Yes,No,60.89047638941395,0.0861134410875146,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
255,282559,282559.02,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,206,934.3511763632928,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Democratic Republic Of The Congo,Female,Housewife/homemaker,3,Housewife/homemaker,No,Nyamrenge,Kinyamrenge,No,No,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
256,282573,282573.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,0.0,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Democratic Republic Of The Congo,Female,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Kicongo,Kicongo,No,No,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
257,282585,282585.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,244.6704934703621,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya ,Male,Casual employment/temporary worker,2,Casual employment/temporary worker,Yes,Kisii,Kisii,No,No,Yes,222.34462582588876,2.073161289274653,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
258,282587,282587.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,0.0,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya ,Male,Doing casual jobs,0,Casual employment/temporary worker,Yes,Kalenjin,Kikalenjin,No,Yes,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
259,282601,282601.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,384.4201514602824,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya,Female,Working full-time (formal/informal sector),2,Working full-time (formal/informal sector),Yes,Kikuyu,Kikuyu,No,No,Yes,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
261,282607,282607.02,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,206,823.7363326801564,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Tanzania,Female,Self-employed (run small business/income generation project),3,Self-employed (run small business/income generation project),No,Muhaya,Kihaya,No,Yes,Yes,540.1804253660202,5.287335115002408,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
263,282608,282608.02,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,206,279.3582121490707,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya ,Female,Working full-time (formal/informal sector),3,Working full-time (formal/informal sector),Yes,Luo,Dholuo,No,Yes,Yes,45.91893537426592,0.1535362576841459,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
264,282610,282610.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,0.0,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Democratic Republic Of The Congo,Male,Unemployed ,2,Unemployed,No,Mnyamrenge,Kinyamrenge,No,No,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
266,282612,282612.05,"('Kakuma', 'Turkana', 'Kenya')",509.1592988893928,2.0180525759744525,34.825154,3.753338,215,859.7906772641413,moves200,Kakuma,Turkana,Kenya,Nairobi,Kayole,Burundi,Male,Working part-time (formal/informal sector),2,Working part-time (formal/informal sector),Yes,Mtimbozi,Kiburundi,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,
267,282620,282620.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,261.96541434424176,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya ,Female,Doing casual jobs,0,Doing casual jobs,Yes,Luo,Dholuo,No,Yes,No,0.0,0.0,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
268,282623,282623.01,"('Saasabi', 'Accra', 'Ghana')",14.8727744293017,-1.8227598953945456,-0.2012376,5.5571096,202,14.8727744293017,moves200,Saasabi,Accra,Ghana,Accra,Madina,Senegal,Female,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Wa,Wallah,No,Yes,Yes,,,POINT (-0.201237599735407 5.557109600128115),5.5571096,-0.2012376,Kin,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,(No Answer),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,282627,282627.02,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,206,260.3648148389514,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya ,Male,Working full-time (formal/informal sector),3,Working full-time (formal/informal sector),Yes,Kisii,Ekegusii,No,Yes,No,16.20667048957563,0.0486529082635782,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
271,282641,282641.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,329.53488450773176,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya,Male,Doing casual jobs,2,Doing casual jobs,Yes,Mmarache,Kimarache,No,Yes,No,0.0,0.0,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
273,282642,282642.02,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,206,52.03895730738191,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya,Male,Working full-time (formal/informal sector),3,Working full-time (formal/informal sector),Yes,Kikuyu,Kikuyu,No,No,Yes,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
274,282648,282648.01,"('Katlehong', 'Germiston', 'South Africa')",0.01,3.141592653589793,28.151111,-26.338611,202,490.8959287763992,moves200,Katlehong,Germiston,South Africa,Johannesburg,Katlehong ,Mozambique,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Copi,Copi,No,Yes,No,,,POINT (28.15111100047244 -26.33861100029736),-26.338611,28.151111,Work,15.0,0.0,1.0,4.0,5.0,0.0,2.0,15.0,(No Answer),26.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
276,282649,282649.02,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,206,305.91380579620886,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya ,Male,Working full-time (formal/informal sector),3,Working full-time (formal/informal sector),Yes,Luyha,Kiluyha,No,Yes,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
277,282651,282651.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,295.20117933855386,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya ,Male,Working full-time (formal/informal sector),1,Working full-time (formal/informal sector),Yes,Luo,Dholuo,No,Yes,No,33.23576499431209,0.1979857850830484,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
278,282652,282652.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,941.5691652102628,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Democratic Republic Of The Congo,Female,Doing casual jobs,2,Doing casual jobs,No,Kicongo,Kicongo,No,No,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
279,282653,282653.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,138.05244645448462,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya,Female,Casual employment/temporary worker,2,Casual employment/temporary worker,Yes,Kikamba,Kikamba,No,Yes,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
280,282660,282660.01,"('Katlehong', 'Katlehong', 'South Africa')",0.01,3.141592653589793,28.151111,-26.338611,202,490.8959287763992,moves200,Katlehong,Katlehong,South Africa,Johannesburg,Katlehong ,Mozambique,Male,Self-employed (run small business/income generation project),0,Self-employed (run small business/income generation project),Yes,Nyambane,Nyambane,No,Yes,No,0.0,0.0,POINT (28.15111100047244 -26.33861100029736),-26.338611,28.151111,Kin,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,(No Answer),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,282663,282663.02,"('Tsakane', 'Brakpan', 'South Africa')",24.508903618029457,-0.0733896945609362,28.3716667,-26.3569444,202,324.8728194290794,moves200,Tsakane,Brakpan,South Africa,Johannesburg,Katlehong ,South Africa,Female,Unemployed ,1,Unemployed,Yes,Zulu,Zulu,No,No,Yes,,,POINT (28.37166669975852 -26.3569443996642),-26.3569444,28.3716667,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,(No Answer),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,282665,282665.01,"('Katlehong', 'Germiston', 'South Africa')",0.01,3.141592653589793,28.151111,-26.338611,202,325.18521315363074,moves200,Katlehong,Germiston,South Africa,Johannesburg,Katlehong ,South Africa,Male,Unemployed ,2,Unemployed,Yes,Zulu,Zulu,No,Yes,No,0.0,0.0,POINT (28.15111100047244 -26.33861100029736),-26.338611,28.151111,Work,15.0,0.0,1.0,4.0,5.0,0.0,2.0,15.0,(No Answer),26.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
284,282666,282666.01,"('Katlehong', 'Alberton', 'South Africa')",0.01,3.141592653589793,28.151111,-26.338611,202,406.7126237026965,moves200,Katlehong,Alberton,South Africa,Johannesburg,Katlehong ,South Africa,Female,Doing casual jobs,1,Doing casual jobs,Yes,Sotho,Zulu,No,Yes,No,,,POINT (28.15111100047244 -26.33861100029736),-26.338611,28.151111,Kin,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,(No Answer),4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,282672,282672.01,"('Katlehong', 'Germiston', 'South Africa')",0.01,3.141592653589793,28.151111,-26.338611,202,0.0,moves200,Katlehong,Germiston,South Africa,Johannesburg,Katlehong ,Mozambique,Male,Unemployed ,1,Unemployed,No,Tsonga,Tsonga,No,Yes,No,,,POINT (28.15111100047244 -26.33861100029736),-26.338611,28.151111,Work,15.0,0.0,1.0,4.0,5.0,0.0,2.0,15.0,(No Answer),26.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
286,282678,282678.01,"('Katlehong', 'Germiston', 'South Africa')",0.01,3.141592653589793,28.151111,-26.338611,202,490.8959287763992,moves200,Katlehong,Germiston,South Africa,Johannesburg,Katlehong ,Mozambique,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Nyambane,Nyambane,No,Yes,No,0.0,0.0,POINT (28.15111100047244 -26.33861100029736),-26.338611,28.151111,Work,15.0,0.0,1.0,4.0,5.0,0.0,2.0,15.0,(No Answer),26.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
287,282700,282700.01,"('Mavimbela', 'Germiston', 'South Africa')",25.77955266587093,2.734687676301348,27.937440500000005,-26.2349444,202,248.655904134628,moves200,Mavimbela,Germiston,South Africa,Johannesburg,Katlehong ,Lesotho,Female,Casual employment/temporary worker,2,Casual employment/temporary worker,No,Sesotho,Sesotho,No,No,No,32.313130257996875,0.1815848477022219,POINT (27.93744049997918 -26.23494439976412),-26.2349444,27.937440500000005,Housing,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,(No Answer),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,282702,282702.02,"('Pretoria', 'Pretoria', 'South Africa')",58.34789330208944,1.4983392200346266,28.1879444,-25.7459374,206,490.8959287763992,moves200,Pretoria,Pretoria,South Africa,Johannesburg,Katlehong ,South Africa,Male,Unemployed ,4,Unemployed,Yes,Swati,Swati,No,No,No,,,POINT (28.18794440041393 -25.74593739959118),-25.7459374,28.1879444,Work,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Work,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
290,282703,282703.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,248.93005150577636,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya ,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Taita,Kitaita,No,No,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
291,282713,282713.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,259.0196900858691,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya ,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Luo,Dholuo,No,No,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
292,282718,282718.01,"('Legon', 'Accra', 'Ghana')",11.614947656696842,1.2587238805296816,-0.1902700537844038,5.64816685,202,61.539252418706376,moves200,Legon,Accra,Ghana,Accra,Old Fadama,Ghana,Female,Doing casual jobs,3,Doing casual jobs,Yes,Dangme,Dangme,No,No,No,2.7601996364144483,0.0869440920245148,POINT (-0.1902700535201234 5.648166850319967),5.64816685,-0.1902700537844038,Education,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,(No Answer),3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
293,282719,282719.01,"('Ferroviario Das Mahotas', 'Maputo', 'Mozambique')",496.2979962785908,0.0801609393510255,32.612913,-25.9156234,202,496.2979962785908,moves200,Ferroviario Das Mahotas,Maputo,Mozambique,Johannesburg,Katlehong ,Mozambique,Female,Self-employed (run small business/income generation project),3,Self-employed (run small business/income generation project),No,Shangani,Shangani,No,Yes,Yes,,,POINT (32.6129129998352 -25.91562339970005),-25.9156234,32.612913,Kin,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,(No Answer),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,282729,282729.01,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,202,53.097298696453166,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya,Male,Working full-time (formal/informal sector),1,Working full-time (formal/informal sector),Yes,Kamba,Kikamba,No,No,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,(No Answer),73.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
295,282732,282732.05,"('Kakuma', 'Turkana', 'Kenya')",509.1592988893928,2.0180525759744525,34.825154,3.753338,215,891.1352734186986,moves200,Kakuma,Turkana,Kenya,Nairobi,Kayole,Democratic Republic Of The Congo,Male,Other,0,Working part-time (formal/informal sector),Yes,Murenge,Kinyamurenge,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,
296,282735,282735.01,"('Katlehong', 'Germiston', 'South Africa')",0.01,3.141592653589793,28.151111,-26.338611,202,11.206976085850114,moves200,Katlehong,Germiston,South Africa,Johannesburg,Katlehong ,South Africa,Male,Other,0,Other (specify),Yes,Xhosa,Xhosa,No,No,Yes,,,POINT (28.15111100047244 -26.33861100029736),-26.338611,28.151111,Work,15.0,0.0,1.0,4.0,5.0,0.0,2.0,15.0,(No Answer),26.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
297,282759,282759.01,"('Katlehong', 'Germiston', 'South Africa')",0.01,3.141592653589793,28.151111,-26.338611,202,324.8728194290794,moves200,Katlehong,Germiston,South Africa,Johannesburg,Katlehong ,South Africa,Female,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Tsonga,Xitsonga,No,Yes,No,0.0,0.0,POINT (28.15111100047244 -26.33861100029736),-26.338611,28.151111,Work,15.0,0.0,1.0,4.0,5.0,0.0,2.0,15.0,(No Answer),26.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
300,282812,282812.03,"('Tuba', 'Accra', 'Ghana')",19.773756057336985,-3.013663434374615,-0.3877300999999999,5.513133900000001,211,297.38792621906805,moves200,Tuba,Accra,Ghana,Accra,James Town,Ghana ,Female,Unemployed ,3,Unemployed,Yes,Asante,Twi,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,
