,ID,ID_ordered,location,dist,azimuth,lat,lon,location_type,max_dist_moves,grouping,location_l,location_near,location_country,city_8,neighborhood_9,orig_country_103,gender_4,employment_status_303,number_moves_200,work_kind_307,migrant_status_3,ethnic_group_106,mother_tongue_115,refugee_214,send_money_310,financial_support_320,retireOrigindist,retireOriginaz,geometry,lat_d,lon_d,in_thm,move_count,In_No_Answer,In_Education,In_Housing,In_Kin,In_Restart,In_Safety,In_Work,location_out,geometry_out,out_thm,move_count_out,Out_No_Answer,Out_Education,Out_Housing,Out_Kin,Out_Remain,Out_Restart,Out_Safety,Out_Work
422,280137,280137.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,206,1142.0578807849745,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,South Sudan,Male,University/technikon/correspondence student,3,University/technikon/correspondence student,No,Dinka,Dinka,No,No,Yes,338.6157865320291,0.2990063279426,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
423,280137,280137.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,1142.0578807849745,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,South Sudan,Male,University/technikon/correspondence student,3,University/technikon/correspondence student,No,Dinka,Dinka,No,No,Yes,338.6157865320291,0.2990063279426,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
424,280139,280139.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,0.0,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,South Sudan ,Male,Other,2,Other (specify),No,Maaban,Arabic,No,No,Yes,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
425,280139,280139.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,0.0,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,South Sudan ,Male,Other,2,Other (specify),No,Maaban,Arabic,No,No,Yes,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
427,280146,280146.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,181.69299771032112,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Kamba,Kikamba,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
428,280146,280146.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,181.69299771032112,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Kamba,Kikamba,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
430,280148,280148.01,"('Likoni', 'Mombasa', 'Kenya')",405.7856203020708,-0.6357192841773047,39.660652,-4.085332,202,405.7856203020708,moves200,Likoni,Mombasa,Kenya,Nairobi,Kawangware,Kenya ,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Luhya,Swahili,No,Yes,Yes,3.2843830191888514,0.0277271526099101,POINT (39.66065200018983 -4.085331999671951),-4.085332,39.660652,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Kisumu', 'Kisumu', 'Kenya')",POINT (34.75417609984714 -0.1029109001178767),,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,280154,280154.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,0.0,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,South Sudan,Female,Unemployed ,0,Unemployed,No,Dinka,Dinka,No,No,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
433,280154,280154.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,0.0,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,South Sudan,Female,Unemployed ,0,Unemployed,No,Dinka,Dinka,No,No,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
435,280159,280159.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,502.5180328194522,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,South Sudan,Female,Unemployed ,1,Unemployed,No,Nuer,Thoc Nuer,Yes,No,Yes,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
436,280173,280173.0,"('Nakuru', 'Nakuru', 'Kenya')",117.11782229175584,2.266232161290216,36.0712048,-0.2802724,100,117.11782229175584,moves200,Nakuru,Nakuru,Kenya,Nairobi,Kawangware,Kenya,Male,Working full-time (formal/informal sector),3,Working full-time (formal/informal sector),Yes,Luo,Dholuo,No,Yes,No,185.8518967241116,0.4146544239070198,POINT (36.07120479976186 -0.2802723998512988),-0.2802724,36.0712048,Work,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"('Madina', 'Tamale', 'Ghana')",POINT (-0.1677052000349022 5.686496199640033),,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,280173,280173.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,117.11782229175584,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Working full-time (formal/informal sector),3,Working full-time (formal/informal sector),Yes,Luo,Dholuo,No,Yes,No,185.8518967241116,0.4146544239070198,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
438,280174,280174.0,"('Nyamira', 'Nyamira', 'Kenya')",209.4474298458329,2.86487773525912,34.93413079992329,-0.65225405,100,209.4474298458329,moves200,Nyamira,Nyamira,Kenya,Nairobi,Kawangware,Kenya,Female,Working full-time (formal/informal sector),3,Working full-time (formal/informal sector),Yes,Kisii,Kisii,No,Yes,No,,,POINT (34.93413080009651 -0.6522540503840446),-0.65225405,34.93413079992329,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Pretoria', 'Pretoria', 'South Africa')",POINT (28.18794440041393 -25.74593739959118),Work,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
439,280174,280174.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,209.4474298458329,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Working full-time (formal/informal sector),3,Working full-time (formal/informal sector),Yes,Kisii,Kisii,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
441,280175,280175.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,303.8985468539849,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya ,Male,Casual employment/temporary worker,2,Casual employment/temporary worker,Yes,Luo,Dholuo,No,No,No,10.18835662663446,0.068277396349524,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
442,280187,280187.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,245.8051419309156,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Male,Unemployed ,0,Unemployed,Yes,Luo,Dholuo,No,No,Yes,45.33605353936409,0.0802904018134884,POINT (34.75417609984714 -0.1029109001178767),-0.1029108999999999,34.7541761,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Kilgoris', 'Narok', 'Kenya')",POINT (34.8800100004612 -1.008390999944652),Safety,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
443,280187,280187.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,245.8051419309156,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Unemployed ,0,Unemployed,Yes,Luo,Dholuo,No,No,Yes,45.33605353936409,0.0802904018134884,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
445,280201,280201.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,181.69299771032112,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Kamba,Kikamba,No,Yes,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
446,280201,280201.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,181.69299771032112,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Kamba,Kikamba,No,Yes,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
447,280211,280211.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,245.8051419309156,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Female,University/technikon/correspondence student,2,University/technikon/correspondence student,Yes,Luo,Kiswahili,No,No,No,,,POINT (34.75417609984714 -0.1029109001178767),-0.1029108999999999,34.7541761,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Kilgoris', 'Narok', 'Kenya')",POINT (34.8800100004612 -1.008390999944652),Safety,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
450,280212,280212.01,"('Kimbo', 'Thika', 'Kenya')",1.9925875782552451,-1.5962788374100405,36.75118340488738,-1.30076905,202,841.7131502148305,moves200,Kimbo,Thika,Kenya,Nairobi,Kawangware,Burundi,Female,Unemployed ,3,Unemployed,No,Tutsi,Kirundi,No,Yes,No,0.0,0.0,POINT (36.75118340479037 -1.300769049851738),-1.30076905,36.75118340488738,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Kibera', 'Nairobi', 'Kenya')",POINT (35.54610234015092 -0.8608475496745882),Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
451,280212,280212.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,206,841.7131502148305,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Burundi,Female,Unemployed ,3,Unemployed,No,Tutsi,Kirundi,No,Yes,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
452,280212,280212.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,841.7131502148305,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Burundi,Female,Unemployed ,3,Unemployed,No,Tutsi,Kirundi,No,Yes,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
454,280215,280215.01,"('Langata', 'Nairobi', 'Kenya')",5.892154730974068,-0.969529080979578,36.7816659,-1.3328938,202,404.5190042697591,moves200,Langata,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Working part-time (formal/informal sector),3,Working part-time (formal/informal sector),Yes,Taita,Swahili ,No,Yes,Yes,0.054424818984728,0.0066686353336908,POINT (36.78166590036108 -1.33289380010865),-1.3328938,36.7816659,Work,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"('Ruiru', 'Thika', 'Kenya')",POINT (36.96044860052268 -1.147271200005775),Work,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
455,280215,280215.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,206,404.5190042697591,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Working part-time (formal/informal sector),3,Working part-time (formal/informal sector),Yes,Taita,Swahili ,No,Yes,Yes,0.054424818984728,0.0066686353336908,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
456,280215,280215.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,404.5190042697591,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Working part-time (formal/informal sector),3,Working part-time (formal/informal sector),Yes,Taita,Swahili ,No,Yes,Yes,0.054424818984728,0.0066686353336908,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
458,280220,280220.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,234.34832489068643,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya ,Female,-3,2,-3,Yes,Luo,Dholuo,No,-3,-3,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
460,280247,280247.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,313.8751343304977,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Doing casual jobs,5,Doing casual jobs,Yes,Luo,Dholuo,No,Yes,No,9.558683764282762,0.0176647589584653,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
462,280251,280251.01,"('Buruburu', 'Nairobi', 'Kenya')",14.429865477150676,-0.0985508878965379,36.88104001390165,-1.29438875,202,5189.024820927307,moves200,Buruburu,Nairobi,Kenya,Nairobi,Kawangware,Liberia ,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Madingo,Mandingo,No,No,No,,,POINT (36.88104001428525 -1.2943887502405),-1.29438875,36.88104001390165,Work,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,"('Kumasi', 'Kumasi', 'Ghana')",POINT (-1.623040399994409 6.698080999838453),,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
463,280251,280251.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,206,5189.024820927307,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Liberia ,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Madingo,Mandingo,No,No,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
464,280251,280251.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,5189.024820927307,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Liberia ,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Madingo,Mandingo,No,No,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
465,280253,280253.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,245.8051419309156,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya ,Female,Self-employed (run small business/income generation project),1,Self-employed (run small business/income generation project),Yes,Luo,Dholuo,No,Yes,No,,,POINT (34.75417609984714 -0.1029109001178767),-0.1029108999999999,34.7541761,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Kilgoris', 'Narok', 'Kenya')",POINT (34.8800100004612 -1.008390999944652),Safety,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
466,280253,280253.01,"('Korogocho', 'Nairobi', 'Kenya')",15.571808875593604,0.1535185402137245,36.8903088,-1.2517501,202,245.8051419309156,moves200,Korogocho,Nairobi,Kenya,Nairobi,Kawangware,Kenya ,Female,Self-employed (run small business/income generation project),1,Self-employed (run small business/income generation project),Yes,Luo,Dholuo,No,Yes,No,,,POINT (36.89030880051092 -1.251750099687285),-1.2517501,36.8903088,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Kokomlemle', 'Accra', 'Ghana')",POINT (-0.2088731002133386 5.575514699743678),Work,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
467,280253,280253.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,206,245.8051419309156,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya ,Female,Self-employed (run small business/income generation project),1,Self-employed (run small business/income generation project),Yes,Luo,Dholuo,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
468,280253,280253.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,245.8051419309156,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya ,Female,Self-employed (run small business/income generation project),1,Self-employed (run small business/income generation project),Yes,Luo,Dholuo,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
470,280257,280257.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,485.1871645287762,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Uganda ,Female,Housewife/homemaker,2,Housewife/homemaker,No,Kiganda,Kiganda,No,No,No,146.59831405093024,0.1672790753617321,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
471,280257,280257.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,485.1871645287762,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Uganda ,Female,Housewife/homemaker,2,Housewife/homemaker,No,Kiganda,Kiganda,No,No,No,146.59831405093024,0.1672790753617321,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
472,280258,280258.0,"('Cape Coast', 'Cape Coast', 'Ghana')",135.2528069705219,-2.644940392393452,-1.2430793,5.107467,100,135.2528069705219,moves200,Cape Coast,Cape Coast,Ghana,Accra,Madina,Ghana,Female,Unemployed ,2,Unemployed,Yes,Nfanti,Nfa,No,No,Yes,69.58494884730982,5.580783258892391,POINT (-1.243079299669887 5.107466999702353),5.107467,-1.2430793,Education,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"('Kongowea', 'Kongowea', 'Kenya')",POINT (39.68386810043262 -4.042265399528446),,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,280258,280258.01,"('Old Fadama', 'Accra', 'Ghana')",16.476146422409087,-1.9475309254099613,-0.2225215999999999,5.5488671,202,135.2528069705219,moves200,Old Fadama,Accra,Ghana,Accra,Madina,Ghana,Female,Unemployed ,2,Unemployed,Yes,Nfanti,Nfa,No,No,Yes,69.58494884730982,5.580783258892391,POINT (-0.2225216000917385 5.548867100436439),5.5488671,-0.2225215999999999,Work,64.0,0.0,0.0,0.0,4.0,0.0,0.0,64.0,"('Berea', 'Johannesburg', 'South Africa')",POINT (28.05333330009182 -26.18222219969471),,87.0,87.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
474,280258,280258.02,"('Adenta', 'Medina', 'Ghana')",1.967693780863146,1.6321607381661996,-0.1687965,5.7041391,202,135.2528069705219,moves200,Adenta,Medina,Ghana,Accra,Madina,Ghana,Female,Unemployed ,2,Unemployed,Yes,Nfanti,Nfa,No,No,Yes,69.58494884730982,5.580783258892391,POINT (-0.1687964994587219 5.704139100439193),5.7041391,-0.1687965,Work,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"('Afrancho', 'Kumasi', 'Ghana')",POINT (-1.96858780008688 7.412288900012811),Kin,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
475,280258,280258.02,"('Madina', 'Accra', 'Ghana')",0.01,0.0,-0.1677052,5.6864962,206,135.2528069705219,moves200,Madina,Accra,Ghana,Accra,Madina,Ghana,Female,Unemployed ,2,Unemployed,Yes,Nfanti,Nfa,No,No,Yes,69.58494884730982,5.580783258892391,POINT (-0.1677052000349022 5.686496199640033),5.6864962,-0.1677052,Work,66.0,0.0,5.0,0.0,21.0,2.0,1.0,66.0,"('Madina', 'Accra', 'Ghana')",POINT (-0.1677052000349022 5.686496199640033),,88.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
476,280258,280258.06,"('Madina', 'Accra', 'Ghana')",0.01,0.0,-0.1677052,5.6864962,9,135.2528069705219,moves200,Madina,Accra,Ghana,Accra,Madina,Ghana,Female,Unemployed ,2,Unemployed,Yes,Nfanti,Nfa,No,No,Yes,69.58494884730982,5.580783258892391,POINT (-0.1677052000349022 5.686496199640033),5.6864962,-0.1677052,Work,66.0,0.0,5.0,0.0,21.0,2.0,1.0,66.0,"('Madina', 'Accra', 'Ghana')",POINT (-0.1677052000349022 5.686496199640033),,88.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
